Sat May 14 19:56:25 CDT 2016 DataR16S1p5T0May__3.root 
Sat May 14 19:56:51 CDT 2016 DataR16S1p6T0May__3.root 
Sat May 14 19:57:17 CDT 2016 DataR16S1p7T0May__3.root 
Sat May 14 19:57:45 CDT 2016 DataR16S1p8T0May__3.root 
Sat May 14 19:58:13 CDT 2016 DataR16S1p9T0May__3.root 
Sat May 14 19:58:43 CDT 2016 DataR17S0p0T0May__4.root 
Sat May 14 19:59:25 CDT 2016 DataR17S0p10T0May__4.root 
Sat May 14 19:59:50 CDT 2016 DataR17S0p11T0May__4.root 
Sat May 14 20:00:20 CDT 2016 DataR17S0p12T0May__4.root 
Sat May 14 20:00:49 CDT 2016 DataR17S0p13T0May__4.root 
Sat May 14 20:01:34 CDT 2016 DataR17S0p14T0May__4.root 
Sat May 14 20:02:18 CDT 2016 DataR17S0p15T0May__4.root 
Sat May 14 20:02:47 CDT 2016 DataR17S0p16T0May__4.root 
Sat May 14 20:03:17 CDT 2016 DataR17S0p17T0May__4.root 
Sat May 14 20:03:44 CDT 2016 DataR17S0p18T0May__4.root 
Sat May 14 20:04:14 CDT 2016 DataR17S0p19T0May__4.root 
Sat May 14 20:04:56 CDT 2016 DataR17S0p1T0May__4.root 
Sat May 14 20:05:29 CDT 2016 DataR17S0p20T0May__4.root 
Sat May 14 20:06:00 CDT 2016 DataR17S0p21T0May__4.root 
Sat May 14 20:06:26 CDT 2016 DataR17S0p22T0May__4.root 
Sat May 14 20:06:52 CDT 2016 DataR17S0p23T0May__4.root 
Sat May 14 20:07:18 CDT 2016 DataR17S0p24T0May__4.root 
Sat May 14 20:07:37 CDT 2016 DataR17S0p2T0May__4.root 
Sat May 14 20:08:03 CDT 2016 DataR17S0p3T0May__4.root 
Sat May 14 20:08:29 CDT 2016 DataR17S0p4T0May__4.root 
Sat May 14 20:09:02 CDT 2016 DataR17S0p5T0May__4.root 
Sat May 14 20:09:31 CDT 2016 DataR17S0p6T0May__4.root 
Sat May 14 20:10:01 CDT 2016 DataR17S0p7T0May__4.root 
Sat May 14 20:10:30 CDT 2016 DataR17S0p8T0May__4.root 
Sat May 14 20:10:57 CDT 2016 DataR17S0p9T0May__4.root 
Sat May 14 20:11:22 CDT 2016 DataR17S1p0T0May__4.root 
Sat May 14 20:11:44 CDT 2016 DataR17S1p10T0May__4.root 
Sat May 14 20:12:09 CDT 2016 DataR17S1p11T0May__4.root 
Sat May 14 20:12:36 CDT 2016 DataR17S1p12T0May__4.root 
Sat May 14 20:13:03 CDT 2016 DataR17S1p13T0May__4.root 
